windspeed,date
2.647108251,2021-08-07 02:00:00
2.57630185,2021-08-07 03:00:00
2.787373387,2021-08-07 04:00:00
2.833122206,2021-08-07 05:00:00
3.241424012,2021-08-07 06:00:00
3.69604885,2021-08-07 07:00:00
3.598186472,2021-08-07 08:00:00
3.443553932,2021-08-07 09:00:00
3.328352209,2021-08-07 10:00:00
3.458936177,2021-08-07 11:00:00
3.358564672,2021-08-07 12:00:00
3.171995129,2021-08-07 13:00:00
2.984905185,2021-08-07 14:00:00
2.979619083,2021-08-07 15:00:00
2.524100449,2021-08-07 16:00:00
1.839347821,2021-08-07 17:00:00
2.393439919,2021-08-07 18:00:00
18.4607541903424,2021-08-07 19:00:00
2.780842395,2021-08-07 20:00:00
2.367813784,2021-08-07 21:00:00
1.966112984,2021-08-07 22:00:00
1.456491619,2021-08-07 23:00:00
1.266030627,2021-08-08 00:00:00
1.380027103,2021-08-08 01:00:00
1.414606153,2021-08-08 02:00:00
1.485838485,2021-08-08 03:00:00
1.827252085,2021-08-08 04:00:00
2.035327664,2021-08-08 05:00:00
1.943061635,2021-08-08 06:00:00
1.803549959,2021-08-08 07:00:00
1.594613497,2021-08-08 08:00:00
1.574594411,2021-08-08 09:00:00
1.857004787,2021-08-08 10:00:00
2.037995043,2021-08-08 11:00:00
1.978218884,2021-08-08 12:00:00
2.099431286,2021-08-08 13:00:00
2.214049789,2021-08-08 14:00:00
2.227807183,2021-08-08 15:00:00
2.005357284,2021-08-08 16:00:00
1.173077085,2021-08-08 17:00:00
2.007707631,2021-08-08 18:00:00
1.677491628,2021-08-08 19:00:00
1.704901799,2021-08-08 20:00:00
1.77300412,2021-08-08 21:00:00
1.974168096,2021-08-08 22:00:00
2.083400819,2021-08-08 23:00:00
2.19381036,2021-08-09 00:00:00
1.736716584,2021-08-09 01:00:00
1.578303089,2021-08-09 02:00:00
1.698485595,2021-08-09 03:00:00
2.072069396,2021-08-09 04:00:00
2.00819732,2021-08-09 05:00:00
1.867615731,2021-08-09 06:00:00
1.7239061,2021-08-09 07:00:00
2.085426682,2021-08-09 08:00:00
1.294801216,2021-08-09 09:00:00
1.010235544,2021-08-09 10:00:00
0.648270435,2021-08-09 11:00:00
1.430770962,2021-08-09 12:00:00
1.453528981,2021-08-09 13:00:00
1.623890375,2021-08-09 14:00:00
1.608888367,2021-08-09 15:00:00
1.599517564,2021-08-09 16:00:00
0.967633192,2021-08-09 17:00:00
1.375667457,2021-08-09 18:00:00
1.524877854,2021-08-09 19:00:00
16.5790481884096,2021-08-09 20:00:00
2.008728726,2021-08-09 21:00:00
2.171059874,2021-08-09 22:00:00
2.389117351,2021-08-09 23:00:00
2.282131634,2021-08-10 00:00:00
2.212706873,2021-08-10 01:00:00
2.33118912,2021-08-10 02:00:00
2.216149142,2021-08-10 03:00:00
2.161484261,2021-08-10 04:00:00
2.127963496,2021-08-10 05:00:00
2.078333816,2021-08-10 06:00:00
2.284672439,2021-08-10 07:00:00
2.468285269,2021-08-10 08:00:00
20.1067506643667,2021-08-10 09:00:00
3.233037734,2021-08-10 10:00:00
2.938385146,2021-08-10 11:00:00
3.201583766,2021-08-10 12:00:00
4.1436342,2021-08-10 13:00:00
4.09034095,2021-08-10 14:00:00
4.004111651,2021-08-10 15:00:00
3.75332121,2021-08-10 16:00:00
1.322608904,2021-08-10 17:00:00
1.813984198,2021-08-10 18:00:00
1.688213963,2021-08-10 19:00:00
1.890465003,2021-08-10 20:00:00
1.904442094,2021-08-10 21:00:00
1.983415335,2021-08-10 22:00:00
1.981011248,2021-08-10 23:00:00
2.042985729,2021-08-11 00:00:00
1.927035737,2021-08-11 01:00:00
1.971227138,2021-08-11 02:00:00
2.245837738,2021-08-11 03:00:00
2.599420764,2021-08-11 04:00:00
2.028924964,2021-08-11 05:00:00
2.378074928,2021-08-11 06:00:00
2.907344981,2021-08-11 07:00:00
2.396934363,2021-08-11 08:00:00
1.978545623,2021-08-11 09:00:00
1.859539061,2021-08-11 10:00:00
2.341595469,2021-08-11 11:00:00
2.303061794,2021-08-11 12:00:00
2.491492136,2021-08-11 13:00:00
2.735738132,2021-08-11 14:00:00
2.531095006,2021-08-11 15:00:00
2.127322089,2021-08-11 16:00:00
1.494001412,2021-08-11 17:00:00
2.33783268,2021-08-11 18:00:00
2.235530579,2021-08-11 19:00:00
2.177193841,2021-08-11 20:00:00
2.233708385,2021-08-11 21:00:00
2.223850011,2021-08-11 22:00:00
2.319574265,2021-08-11 23:00:00
2.389259723,2021-08-12 00:00:00
